feed_name,raw_column,status_labels,never_loaded,dropped,loaded_but_unused,meaning_or_example,example_values,is_renamed_to,is_stored,is_used,where_dropped,drop_reason,where_used,recommendation
isbe_committees_tsv,DispFunds95,dropped,no,yes,no,Stores in bulk_committees_clean.residual_funds_per_ilcs_9_5,False | True,residual_funds_per_ilcs_9_5,bulk_committees_clean.residual_funds_per_ilcs_9_5,yes,scripts/isbe_sunshine_etl.py:1243,implicitly lost (collision with DispFundsDescrip -> disp_funds_95),webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_committees_tsv,LocalID,dropped,no,yes,no,Stores in bulk_committees_clean.local_committee_id_obsolete,10040 | 14554 | 0,local_committee_id_obsolete,bulk_committees_clean.local_committee_id_obsolete,yes,scripts/isbe_sunshine_etl.py:55,explicitly excluded (sunshine FILE_COLUMNS omits LocalID),webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_committees_tsv,StateID,dropped,no,yes,no,Stores in bulk_committees_clean.state_committee_id_obsolete,7775 | 9692 | 0,state_committee_id_obsolete,bulk_committees_clean.state_committee_id_obsolete,yes,scripts/isbe_sunshine_etl.py:55,explicitly excluded (sunshine FILE_COLUMNS omits StateID),webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_d2totals_tsv,LoanMadeI,dropped,no,yes,no,Stores in bulk_d2_totals_clean.loans_made_itemized,0 | 2000 | 2500,loans_made_itemized,bulk_d2_totals_clean.loans_made_itemized,yes,scripts/isbe_sunshine_etl.py:1306,implicitly lost (mapped to expenditures_itemized then overwritten by ExpendI),database/analytics.py; scripts/build_triple_pipeline.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_d2totals_tsv,LoanMadeNI,dropped,no,yes,no,Stores in bulk_d2_totals_clean.loans_made_non_itemized,0 | 190.84 | 699.6,loans_made_non_itemized,bulk_d2_totals_clean.loans_made_non_itemized,yes,scripts/isbe_sunshine_etl.py:1307,implicitly lost (mapped to expenditures_non_itemized then overwritten by ExpendNI),database/analytics.py; scripts/build_triple_pipeline.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_d2totals_tsv,XferOutI,dropped,no,yes,no,Stores in bulk_d2_totals_clean.transfers_out_itemized,2582 | 211.53 | 0,transfers_out_itemized,bulk_d2_totals_clean.transfers_out_itemized,yes,scripts/isbe_sunshine_etl.py:1304,implicitly lost (mapped to expenditures_itemized then overwritten by ExpendI),database/analytics.py; scripts/build_triple_pipeline.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_d2totals_tsv,XferOutNI,dropped,no,yes,no,Stores in bulk_d2_totals_clean.transfers_out_non_itemized,0 | 836 | 220,transfers_out_non_itemized,bulk_d2_totals_clean.transfers_out_non_itemized,yes,scripts/isbe_sunshine_etl.py:1305,implicitly lost (mapped to expenditures_non_itemized then overwritten by ExpendNI),database/analytics.py; scripts/build_triple_pipeline.py,Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.
isbe_filed_docs_tsv,Amend,never_loaded|dropped,yes,yes,no,Example: True | False,True | False,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Archived,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,B9SignerFirstName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,B9SignerLastOnlyName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Clarification,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Comment,never_loaded|dropped,yes,yes,no,Example: Changed Name Of Committee | Annual And Final Report | Schedule A Attached,Changed Name Of Committee | Annual And Final Report | Schedule A Attached,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,CommitteeID,never_loaded|dropped,yes,yes,no,Example: 586 | 1464 | 1463,586 | 1464 | 1463,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,DocName,never_loaded|dropped,yes,yes,no,Example: Statement of Organization | Final | Pre-election,Statement of Organization | Final | Pre-election,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,ElectionType,never_loaded|dropped,yes,yes,no,Example: CE | GE | GP,CE | GE | GP,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,ElectionYear,never_loaded|dropped,yes,yes,no,Example: 1989 | 1988 | 1990,1989 | 1988 | 1990,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,FiledDocType,never_loaded|dropped,yes,yes,no,Example: 05 | 30 | 10,05 | 30 | 10,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
