dataset,table,column,null_rate,unique_rate,join_rate,value_scores,priority_score,recommended_action
fec_api_schedule_a_json,fec_schedule_a_contributions,amendment_indicator,0.0,3.1e-05,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_a_json,fec_schedule_a_contributions,file_number,0.0,0.001719,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_b_json,fec_schedule_b_disbursements,amendment_indicator,0.0,0.000223,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_b_json,fec_schedule_b_disbursements,disbursement_purpose_category,0.0,0.000816,,P2/A3/G2/C1/R0,6,integrate_now
fec_api_schedule_b_json,fec_schedule_b_disbursements,file_number,0.0,0.012317,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,is_notice,0.0,0.000392,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,most_recent,0.0,0.000392,,P3/A1/G3/C1/R0,6,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,CommitteeID,0.0,0.032727,0.999971,P3/A2/G3/C2/R0,6,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,file_number,0.00157,0.217921,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,previous_file_number,0.007259,0.211265,,P3/A1/G3/C1/R0,6,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,amendment_indicator,0.008044,0.000593,,P3/A1/G3/C1/R0,6,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,RptPdEndDate,0.132433,0.008971,,P3/A2/G3/C2/R0,6,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,RptPdBegDate,0.133137,0.009742,,P3/A2/G3/C2/R0,6,integrate_now
fec_api_candidate_committees_json,fec_candidate_committees,last_file_date,0.0,0.341667,,P3/A1/G2/C1/R0,5,integrate_now
fec_api_schedule_a_json,fec_schedule_a_contributions,transaction_id,0.0,0.570341,,P2/A2/G2/C1/R0,5,integrate_now
fec_api_schedule_b_json,fec_schedule_b_disbursements,transaction_id,0.0,0.968391,,P2/A2/G2/C1/R0,5,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,Amend,0.0,2e-06,,P3/A1/G3/C2/R0,5,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,DocName,0.0,1.4e-05,,P3/A2/G2/C2/R0,5,integrate_now
isbe_filed_docs_tsv,isbe_filed_docs,RcvdDateTime,0.0,0.917555,,P3/A1/G3/C2/R0,5,integrate_now
fec_api_schedule_e_json,fec_schedule_e_independent_expenditures,transaction_id,0.009221,0.611485,,P2/A2/G2/C1/R0,5,integrate_now
fec_api_candidate_committees_json,fec_candidate_committees,first_file_date,0.0,0.858333,,P2/A1/G2/C1/R0,4,integrate_now
fec_api_candidate_committees_json,fec_candidate_committees,party_full,0.0,0.025,,P2/A1/G1/C1/R0,3,integrate_now
fec_api_schedule_a_json,fec_schedule_a_contributions,entity_type_desc,0.0,7.3e-05,,P2/A2/G1/C1/R0,4,integrate_later
fec_api_schedule_a_json,fec_schedule_a_contributions,pdf_url,0.0,0.195814,,P2/A1/G2/C1/R0,4,integrate_later
fec_api_schedule_b_json,fec_schedule_b_disbursements,pdf_url,0.0,0.341025,,P2/A1/G2/C1/R0,4,integrate_later
isbe_investments_tsv,isbe_investments,CurrentValue,0.0,0.289362,,P2/A3/G1/C3/R1,2,integrate_later
isbe_investments_tsv,isbe_investments,PurchasePrice,0.0,0.050682,,P2/A3/G1/C3/R1,2,integrate_later
isbe_filed_docs_tsv,isbe_filed_docs,FiledDocType,0.572099,2.2e-05,,P2/A2/G1/C2/R1,2,integrate_later
isbe_filed_docs_tsv,isbe_filed_docs,Archived,0.0,2e-06,,P1/A1/G2/C2/R1,1,integrate_later
fec_api_candidate_committees_json,fec_candidate_committees,website,0.233333,0.98913,,P1/A1/G1/C1/R1,1,integrate_later
isbe_investments_tsv,isbe_investments,CommitteeID,0.0,0.021902,1.0,P1/A2/G1/C3/R1,0,integrate_later
isbe_investments_tsv,isbe_investments,Description,0.0,0.046082,,P1/A2/G1/C3/R1,0,integrate_later
isbe_investments_tsv,isbe_investments,FiledDocID,0.0,0.421024,0.999747,P1/A2/G1/C3/R1,0,integrate_later
irs527_full_data_record_1_org_registration,irs527_organizations,pos_41,0.015424,0.999555,,P1/A1/G2/C2/R1,1,investigate_semantics
irs527_full_data_record_1_org_registration,irs527_organizations,pos_42,0.015464,2.7e-05,,P0/A1/G2/C2/R2,-1,investigate_semantics
irs527_full_data_record_1_org_registration,irs527_organizations,pos_43,0.015464,2.7e-05,,P0/A1/G2/C2/R2,-1,investigate_semantics
fec_api_candidate_committees_json,fec_candidate_committees,email,0.0,0.916667,,P0/A1/G1/C1/R3,-2,do_not_surface_pii
fec_api_candidate_committees_json,fec_candidate_committees,treasurer_phone,0.058333,0.867257,,P0/A1/G1/C1/R3,-2,do_not_surface_pii
fec_api_candidate_committees_json,fec_candidate_committees,form_type,0.0,0.008333,,P0/A0/G0/C0/R0,0,exclude_low_signal
