Phase,Category,Item #,Title,Description,Priority,Horizon,Effort,Risk/Severity
Quick Wins,Security,1,Add CSRF protection,,High,NOW,2 hrs,
Quick Wins,Security,2,Parameterize SQL sort fields,,Critical,NOW,1 hr,
Quick Wins,Performance,3,Add streaming CSV exports,,High,NOW,3 hrs,
Quick Wins,Performance,4,Paginate report contributions,,High,NOW,2 hrs,
Quick Wins,Security,5,Set production SECRET_KEY from env,,Critical,NOW,15 min,
Quick Wins,Security,6,Add API rate limiting,,Medium,NOW,2 hrs,
Quick Wins,Performance,7,Add connection pooling,,Medium,NOW,2 hrs,
Quick Wins,Security,8,Add login rate limiting,,Medium,NOW,1 hr,
Quick Wins,UX,9,Add 500 error handler,,Low,NOW,30 min,
Quick Wins,UX,10,Add cache-busting versioned static assets,,Low,NOW,1 hr,
Phase 1: Improvements,Security,1,Add CSRF tokens to all forms,All POST routes lack CSRF protection,High,NOW,,
Phase 1: Improvements,Security,2,Whitelist SQL sort fields,models.py uses f-string for ORDER BY,Critical,NOW,,
Phase 1: Improvements,Performance,3,Stream CSV exports,Replace in-memory buffering with generator,High,NOW,,
Phase 1: Improvements,Performance,4,Paginate report contributions,/reports/<id> loads all rows,High,NOW,,
Phase 1: Improvements,Security,5,Set SECRET_KEY from env,Hardcoded dev key in production,Critical,NOW,,
Phase 1: Improvements,Security,6,Add API rate limiting,No throttling on /api/ endpoints,Medium,NOW,,
Phase 1: Improvements,Performance,7,Add connection pooling,Each request opens new connection,Medium,NOW,,
Phase 1: Improvements,Security,8,Add login rate limiting,No brute-force protection,Medium,NOW,,
Phase 1: Improvements,UX,9,Add 500 error handler,Unhandled exceptions show raw traceback,Low,NOW,,
Phase 1: Improvements,UX,10,Pagination on committee contributions,Hard-limited to 100 rows,Medium,NOW,,
Phase 1: Improvements,Feature,11,Add FTS5 full-text search,Text searches scan full tables,Medium,NOW,,
Phase 1: Improvements,Data,12,Atomic materialization refresh,Partial refresh leaves stale data,Medium,NOW,,
Phase 1: Improvements,UX,13,Snapshot build progress indicator,No progress feedback in full mode,Low,NOW,,
Phase 1: Improvements,API,14,API response envelope,Inconsistent JSON response format,Low,NOW,,
Phase 1: Improvements,UX,15,Consolidate donor detail routes,3 routes confuse users,Low,NOW,,
Phase 1: Paper Cuts,UX,1,Search results show no total count,Add 'Showing X of Y results' header,Low,NOW,,
Phase 1: Paper Cuts,UX,2,Compare mode loses selections on dropdown change,Debounce form submission,Low,NOW,,
Phase 1: Paper Cuts,UX,3,No breadcrumb on detail pages,Add consistent breadcrumb nav,Low,NOW,,
Phase 1: Paper Cuts,UX,4,Date filters use plain text on some pages,Standardize HTML5 date inputs,Low,NOW,,
Phase 1: Paper Cuts,UX,5,Truncated names have no tooltip,Add title attribute for hover,Low,NOW,,
