feed_name,raw_column,is_loaded_from_raw?,is_renamed_to?,is_stored?,is_used?,where_used,where_dropped,drop_reason,recommendation,present_in_files_count,present_in_all_files?,null_rate_estimate,example_values,evidence_raw_files,sampling_method
isbe_committees_tsv,Address1,yes,address_line_1,bulk_committees_clean.address_line_1,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.000296,6301 N Sheridan Rd | 1075 N Marshfield Ave | 2742 W. North Ave,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,Address2,yes,address_line_2,bulk_committees_clean.address_line_2,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.804469,Ste 15-G | 435 E 35th St | 500 E 33rd St Apt 1515,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,Address3,yes,address_line_3,bulk_committees_clean.address_line_3,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.995055,Attn Mark Flood | #93 | Unit #2,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,CanSuppOpp,yes,candidate_support_or_oppose,bulk_committees_clean.candidate_support_or_oppose,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.169843,S | O,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,City,yes,city,bulk_committees_clean.city,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.0,Chicago | Beecher | Kankakee,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,CreationAmount,yes,creation_funds_available,bulk_committees_clean.creation_funds_available,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.0,0 | 52966.7 | 500,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,CreationDate,yes,creation_date,bulk_committees_clean.creation_date,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.08025,2000-08-21 00:00:00 | 2007-08-13 00:00:00 | 2011-12-09 00:00:00,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,DispFunds95,yes,residual_funds_per_ilcs_9_5,bulk_committees_clean.residual_funds_per_ilcs_9_5,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,scripts/isbe_sunshine_etl.py:1243,implicitly lost (collision with DispFundsDescrip -> disp_funds_95),Preserve this column in sunshine-import (distinct target column) or commit an explicit denylist decision.,2,yes,0.0,False | True,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,DispFundsCharity,yes,residual_funds_to_charity,bulk_committees_clean.residual_funds_to_charity,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.0,False | True,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
isbe_committees_tsv,DispFundsDescrip,yes,residual_funds_description,bulk_committees_clean.residual_funds_description,yes,webapp/routes/committees.py; webapp/routes/lobbying.py; database/analytics.py,,,Keep mapped; add schema regression tests.,2,yes,0.651831,Cook County Democratic Party | tbd | The Democratic Party Of Illinois,Bulk_download/Committees.txt; Bulk_download/committees_639060038163077225.txt,header_scanned_all_files_profiled_first_n_rows_per_file
